Days,pHT,AlkalinityT,BiogasT,TS_T,pHM,AlkalinityM,BiogasM,TS_M,,Level_T,Trend_T,Prediction_T,[e]_T,[e^2]_T,Forecast_T,,Level_M,Trend_M,Prediction_M,[e]_M,[e^2]_M,Forecast_M
1,5.93,3080,0,77.6237623762381,6.18,5265,0,77.2994129158505,,77.6237623762381,0,76.799946457359,0,0,,,77.2994129158505,0,75.6021662794502,0,0,
2,5.8,4440,0.22,44.0151364270059,5.8,5575,0.89,50.5324298160689,,70.9020371863917,-0.672172518984644,68.6974448077536,-26.2147282404011,687.211976718085,76.799946457359,,71.9460162958942,-0.535339661995631,71.3834908417225,-20.8782468178296,435.901190186214,75.6021662794502
3,6.04,4030,2.99,55.3182835062026,5.9,5900,2.99,47.0025891256716,,67.2475484351662,-0.970404142208731,65.1440797336093,-10.9588607867548,120.096629743472,68.6974448077536,,66.5290591322532,-1.02350141216017,66.9798879350906,-18.5029685944214,342.359846806144,71.3834908417225
4,6.63,3540,6.03,51.6403402187125,6.5,3910,6.99,46.0618145563299,,63.3497834781084,-1.26314022369363,62.2633667277359,-10.4463030357023,109.125247113723,65.1440797336093,,61.6168090873404,-1.41237627543543,60.5388108533252,-14.142618255575,200.013651122924,66.9798879350906
5,6.66,4950,2.56,51.1467424396189,6.53,4440,0.98,39.1908975979772,,59.8986630914556,-1.48193823998955,59.4814620285042,-7.26998241184718,52.8526442685674,62.2633667277359,,56.0017257691194,-1.83264697971399,54.6248926776304,-14.9781811914282,224.345911803254,60.5388108533252
6,6.55,5000,0.47,52.5054901177876,6.45,5000,0.63,43.6303766207031,,57.2344779047304,-1.60016293466312,55.8995512952485,-3.12882485227966,9.78954495624286,59.4814620285042,,52.061338355665,-2.04342102308803,48.9975253966228,-6.38754071187383,40.8006763458456,54.6248926776304
7,6.38,4070,0.61,50.3423278292388,6.27,4330,1.41,44.2280381416116,,54.5759175419016,-1.70600267747969,50.4716671375417,-2.52758703518309,6.38869622042564,55.8995512952485,,48.8599414943839,-2.15921860690734,47.8485486533268,-2.47268474586493,6.11416985243312,48.9975253966228
8,5.86,5000,0,60.1028074337673,5.8,4100,0,52.8942115768465,,54.316493378291,-1.56134482609278,49.4545467002802,7.34765888156911,53.9880910399014,50.4716671375417,,47.9394206253505,-2.03534883311994,44.5513566314881,6.99013978461591,48.8620542084702,47.8485486533268
9,5.52,3470,0.3,55.0610639619123,5.52,5000,0.575,52.7086383601762,,53.216331634141,-1.5152265178985,52.745245153763,3.35995884566978,11.2893234445946,49.4545467002802,,47.2649851058197,-1.89925750176103,42.7062719513637,7.34291075611751,53.9183383723062,44.5513566314881
10,5.52,5000,0.25,53.5494460402139,5.71,5000,0.585,103.561869466749,,52.0707733010368,-1.47825969941907,52.077596237978,2.95693243859617,8.74344944642229,52.745245153763,,57.0049559765968,-0.735334664507219,55.5519190430685,47.2922481546595,2236.55673552189,42.7062719513637
11,5.79,4650,0.23,52.4243680066308,5.76,4940,1.47,45.0599421248457,,50.9588844826204,-1.44162261131881,48.0347209413947,2.90710613532926,8.45126608206901,52.077596237978,,54.0276854746408,-0.959528248252095,55.053130420719,-8.00821510154298,64.131509112581,55.5519190430685
12,6.04,4430,0.66,49.0033222591371,6.1,3920,2.11,45.331669785819,,49.4144739488687,-1.45190140356209,46.6968046958973,1.04074971383054,1.08315996683834,48.0347209413947,,51.5208597382747,-1.11425799706349,50.3229798084365,-5.07493195539225,25.7549343518614,55.053130420719
