Days,Mactual,Mpred,Tactual,Tpred
0,,,,
1,77.6237623762381,,77.2994129158505,
2,44.0151364270059,76.799946457359,50.5324298160689,75.6021662794502
3,55.3182835062026,68.6974448077536,47.0025891256716,71.3834908417225
4,51.6403402187125,65.1440797336093,46.0618145563299,66.9798879350906
5,51.1467424396189,62.2633667277359,39.1908975979772,60.5388108533252
6,52.5054901177876,59.4814620285042,43.6303766207031,54.6248926776304
7,50.3423278292388,55.8995512952485,44.2280381416116,48.9975253966228
8,60.1028074337673,50.4716671375417,52.8942115768465,47.8485486533268
9,55.0610639619123,49.4545467002802,52.7086383601762,44.5513566314881
10,53.5494460402139,52.745245153763,103.561869466749,42.7062719513637
11,52.4243680066308,52.077596237978,45.0599421248457,55.5519190430685
12,49.0033222591371,48.0347209413947,45.331669785819,55.053130420719
13,47.96257,46.6968046958973,50.4066,50.3229798084365
14,49.8698177448433,44.5031978534778,45.2716297786723,49.457599756689
15,49.581839904421,44.3870172900176,45.5265241488513,46.9149128445133
16,71.9353567205352,44.4903779330728,66.8902920284133,45.1515508524166
17,72.2137983320697,49.3582844960305,65.4510556621883,48.86362445316
18,73.8530399104813,54.9039318847941,66.5646518745216,51.2091514226146
19,71.4689798227416,56.7780719246304,65.1491365777082,54.5460894913508
20,68.6619718309857,61.9105854999605,61.6317746037966,56.8657579590453
21,63.05864,61.7918483473888,57.8718703852914,59.3674810428363
22,63.55087,64.6675035274285,57.991247954284,58.6458897665223
23,63.9421196714897,64.2656762179005,55.4687499999997,56.2398850885752
24,63.0736184338998,65.1668501374078,57.7786453250048,58.316972142952
25,61.5656963021247,65.4183972733861,58.5717065576964,57.4343890049325
26,56.2095838169456,62.7462493654069,54.1910331384014,58.6822587766351
27,56.1996462959314,61.7743487893456,52.6936689,58.5884530603112
28,57.4397177024112,62.3796698181175,51.5139598898925,55.3650944555843
29,60.91676,61.1866987331802,55.1286200486026,54.4663495191741
30,53.5853468433357,60.6722482272607,50.3837827199371,55.5770822726337
31,53.3901745838404,58.3394714587608,49.9494438827098,53.7301248050574
32,60.4651162790696,58.577609265332,52.1961788457752,52.4142734116277
33,61.8300153139358,58.4258113333301,57.0975416336248,52.6907070630723
34,58.79074,58.4055521682129,52.9368018082342,53.6625341159289
35,58.66005,56.4885913182971,52.6811212922147,50.3852271385294
36,58.52937,57.9347965753603,52.4254407761952,51.5715161184293
37,58.39868,58.4404873138516,52.1697602601757,51.3634905074682
38,58.26799,59.0898614943822,51.9140797441562,53.3442585839808
39,58.13731,57.7361345938765,51.6583992281367,49.5628687833781
40,58.00662,59.0264711302399,51.4027187121172,49.8449372472428
41,57.87593,56.34862533126,51.1470381960976,50.261081037208
42,57.74525,58.2942327606734,50.8913576800781,49.236424733607
